"","lat","lon","IFd","GIn","HIn","IFr","Crn","Pln","Frg","Nct","Grn"
"3654",-0.5,-51.5,216,110,68,85,32,20,76,27,24
"3653",-0.5,-52.5,214,103,59,84,31,16,72,24,20
"3652",-0.5,-53.5,200,92,55,79,30,15,67,22,13
"3651",-0.5,-54.5,194,94,54,77,27,15,65,22,11
"3649",-0.5,-56.5,192,94,54,80,26,15,67,20,11
"3648",-0.5,-57.5,193,92,53,79,27,15,68,20,11
"3647",-0.5,-58.5,193,91,52,79,28,16,68,19,12
"3646",-0.5,-59.5,189,89,51,82,28,16,69,19,12
"3645",-0.5,-60.5,189,91,52,81,28,17,69,19,12
"3644",-0.5,-61.5,195,95,54,78,28,18,73,21,11
"3640",-0.5,-65.5,212,93,53,88,27,18,80,21,12
"3639",-0.5,-66.5,224,94,53,90,27,17,85,22,15
"3634",-0.5,-71.5,199,94,56,89,28,14,83,21,15
"3633",-0.5,-72.5,200,102,54,92,30,16,82,21,15
"3632",-0.5,-73.5,205,104,54,96,30,15,83,22,15
"3631",-0.5,-74.5,229,110,55,99,29,17,88,23,17
"3630",-0.5,-75.5,268,112,59,109,30,17,96,25,18
"3629",-0.5,-76.5,272,117,59,110,34,18,102,29,21
"3628",-0.5,-77.5,322,150,76,133,36,21,131,49,23
"3627",-0.5,-78.5,134,70,64,52,38,18,63,34,18
"3626",-0.5,-79.5,145,102,50,60,29,9,69,20,14
"3662",-0.5,10.5,133,119,34,59,17,20,39,8,11
"3663",-0.5,11.5,150,124,33,59,18,20,40,8,12
"3664",-0.5,12.5,153,123,31,57,18,21,41,8,11
"3665",-0.5,13.5,141,121,31,54,18,21,37,8,8
"3667",-0.5,15.5,131,111,29,49,18,22,34,8,7
"3668",-0.5,16.5,122,106,28,50,15,23,33,7,7
"3669",-0.5,17.5,128,105,30,55,14,24,36,8,15
"3672",-0.5,20.5,109,97,24,48,16,15,30,5,9
"3673",-0.5,21.5,111,97,24,50,17,15,29,5,9
"3678",-0.5,26.5,116,109,38,56,19,21,30,5,6
